序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
111,0,258744535984,589886812,全能小烨,5,保密,能不能测测PUBG,2025-03-26 09:34:09,0,0,不够优秀.何以拥有,未知,否,https://i1.hdslb.com/bfs/face/c1ee34e9d854d5676883b490ff4ad2f5041b958f.jpg,Expectation
112,0,258717492544,453646437,齿轮转动中,5,男,哦，换个几百块钱主板就行了,2025-03-26 02:48:21,0,0,好好生活,未知,否,https://i0.hdslb.com/bfs/face/f5c54f9ee2e89b5654bfb92b21e8d7bd970feda6.jpg,Neutral
113,0,257868650577,1411952,保持围观的路人丁,6,男,我在想做个主机，只有这个主机可以连接特殊服务器，想玩就得单独买主机这个主机主机直接禁止写入任何数据，能不能搞死外挂呢,2025-03-25 13:07:33,3,0,,未知,是,http://i2.hdslb.com/bfs/face/1b4c5b095fec5a59a044084ff06f7914587b4237.jpg,Expectation
114,0,258658345232,24474432,Ardyn,6,男,对你们单独照顾了，现实个人开挂根本不会封IP,2025-03-25 08:38:56,0,2,三年之期已到,未知,否,https://i0.hdslb.com/bfs/face/b65713fefe4f02154961b01c2c867e23cdbb4608.jpg,Disgust
115,0,258657740064,341971647,Yue桑,5,保密,网络ip被标记了，不是说你被重点关注,2025-03-25 08:29:39,0,2,,未知,是,http://i0.hdslb.com/bfs/face/b2fe7cd567f02696e2bd869caca47eba077382ca.jpg,Regret
116,0,258633045536,349921918,冬青YorickY,5,保密,三角洲一个月前举报的dma护航现在还没封[笑哭],2025-03-25 02:12:53,12,7,养狗的能力是很强，追到这儿了,未知,是,https://i1.hdslb.com/bfs/face/e1a08d63c4b31baaf18baccd12c6fb775a826a86.jpg,Regret
117,0,258621796960,354407923,伪神奥托,6,男,1,2025-03-24 19:40:03,0,1,348926166，一切资源不超过0.5RMB，仅为资源交换用，不能发奇怪的图和连接,未知,否,https://i1.hdslb.com/bfs/face/66f4532c3d646fb29a1ef3fdadb289367f7d2602.jpg,Neutral
118,0,257793465249,3546568183515170,晚风很温柔----,3,保密,dma是插在副机上吗测试的时候  有没有可能打的太暴力了，演着打会多久封禁呢,2025-03-24 13:42:38,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Expectation
119,0,258593255200,673970524,bili_79688220107,4,保密,卖设备吗？我不玩游戏[doge_金箍],2025-03-24 11:58:21,0,0,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
120,0,258579274064,86820219,熙梦雨-,6,男,可以找我啊，我不玩三角洲，cf，无畏契约,2025-03-24 09:01:51,0,1,q群807844924,未知,否,https://i0.hdslb.com/bfs/face/f5c54f9ee2e89b5654bfb92b21e8d7bd970feda6.jpg,Neutral
121,0,257756616689,13992454,丨蓝白胖次丨,6,男,没鸟用，昨天打粥被对面提前枪送走了，看路人队友视角和对面挂壁激情隔墙对视[笑哭],2025-03-24 04:47:21,0,1,,未知,否,https://i1.hdslb.com/bfs/face/dd8dd55ebdb05e08dd7a388b5c683e3bae1ac15f.jpg,Disgust
