序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
68,260339974096,259478206993,13811190,嘟嘟可妲魔王,6,男,回复 @默咲 :打错了忘改了[笑哭],2025-04-14 07:25:56,0,0,,未知,是,https://i0.hdslb.com/bfs/face/e9e61a95ec044711ff3f9e4bd102f6f57ab9816d.jpg,Neutral
69,259885260624,259058935857,20719150,迷途之家的幻想之狐,6,男,大招改了？,2025-04-09 02:41:44,0,2,平庸,未知,是,https://i1.hdslb.com/bfs/face/2e8166d16df38d31c49c410e4ce9fe63106930c3.jpg,Surprise
70,259058935857,259961400640,3546715242105729,我叫帅批,3,保密,回复 @迷途之家的幻想之狐 :没有只是多了一个大招检视[打call],2025-04-09 13:02:57,0,2,,未知,否,https://i0.hdslb.com/bfs/face/27ce10e3fa730d2184b57a8f3c37c07ca0e9eff4.jpg,Neutral
71,259961400640,259138221377,20719150,迷途之家的幻想之狐,6,男,回复 @我叫帅批 :哦哦，检视小电脑？,2025-04-10 02:53:48,0,2,平庸,未知,是,https://i1.hdslb.com/bfs/face/2e8166d16df38d31c49c410e4ce9fe63106930c3.jpg,Neutral
72,259138221377,260594930096,3546715242105729,我叫帅批,3,保密,回复 @迷途之家的幻想之狐 :对的[打call],2025-04-17 09:20:12,0,0,,未知,否,https://i0.hdslb.com/bfs/face/27ce10e3fa730d2184b57a8f3c37c07ca0e9eff4.jpg,Neutral
73,259991360320,260433206128,1987913702,全民小康的漏网之鱼,3,保密,单做一个任务怎么算,2025-04-15 08:07:56,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Regret
74,259991360320,260446626080,3546866012653944,薪火电竞-客服,2,男,15,2025-04-15 11:25:09,0,0,"三角洲行动承接3*3哈夫币部门任务
需要+V  faqng5131421
频繁加V  qazplm5131421
QQ 2961553035",未知,是,https://i0.hdslb.com/bfs/face/21c25e46713b9057bc764dd35b00475e49ee3310.jpg,Neutral
75,258996062561,259855649232,698136213,Kanye侃爷啊,5,女,不包币是什么意思？ 做任务途中获得到哈弗币要付钱吗,2025-04-08 07:09:10,0,1,时间是个庸医 却自称包治百病,未知,否,https://i0.hdslb.com/bfs/face/92689648993691365385fbb403f69e076d3811a9.jpg,Expectation
76,259855649232,258999675761,275061293,薪火电竞,5,男,回复 @Kanye侃爷啊 :不是，包币是包任务过程中的哈夫币消耗,2025-04-08 07:16:48,0,1,"三角洲行动3*3哈夫币部门任务
需要+V  faqng5131421
频繁加V  qazplm5131421
频繁加Q 2961553035",未知,是,https://i2.hdslb.com/bfs/face/21c25e46713b9057bc764dd35b00475e49ee3310.jpg,Neutral
77,0,259201176049,13811190,嘟嘟可妲魔王,6,男,"礼貌借楼
S4赛季33保险箱价格 1200元
30r=350W（送50万）
50r=600W（送100万）
85r=1000W （送150万）
700r=1200W（送200万）
200r=2400W （送400万)
500r=6000W（送1000万)
纯绿代肝，全程直播代打，欢迎各位老板咨询",2025-04-10 19:43:50,2,6,,未知,是,https://i0.hdslb.com/bfs/face/e9e61a95ec044711ff3f9e4bd102f6f57ab9816d.jpg,Neutral
78,0,259991360320,3546866012653944,薪火电竞-客服,2,男,"部门任务   
战斗部门1-4=150元（1天左右完成，不包币，包币+60元）     
战术部门1-4=150元（1天左右完成，不包币，包币+60元）  
医疗部门1-4=120元（1天左右完成，不包币，包币+60元）  
后勤部门1-4=130元（1天左右完成，不包币，包币+60元）  
研发部门1-4=130元（1天左右完成，不包币，包币+60元）   
亿唐特价:五个部门任务全包1-4=900元（完成时间以打手反馈为准，包币）  
  
一个部门任务1-2=40元（1天左右完成，不包币，包币+50元）   
一个部门任务2-3=60元（1天左右完成，不包币，包币+50元）   
一个部门任务1-3=80元（1天左右完成，不包币，包币+50元）    
一个部门任务2-4=100元（1天左右完成，不包币，包币+50元）",2025-04-10 00:11:15,2,8,"三角洲行动承接3*3哈夫币部门任务
需要+V  faqng5131421
频繁加V  qazplm5131421
QQ 2961553035",未知,是,https://i0.hdslb.com/bfs/face/21c25e46713b9057bc764dd35b00475e49ee3310.jpg,Neutral
79,0,259991118512,3546866012653944,薪火电竞-客服,2,男,下赛季3*3保险开放预约了，现在下单享受所有套餐降价100的优惠，优先下单下赛季优先排单，保证您更早的拿到3*3，提高您新赛季的游戏体验，需要的话欢迎私聊客服哦,2025-04-10 00:11:07,0,1,"三角洲行动承接3*3哈夫币部门任务
需要+V  faqng5131421
频繁加V  qazplm5131421
QQ 2961553035",未知,是,https://i0.hdslb.com/bfs/face/21c25e46713b9057bc764dd35b00475e49ee3310.jpg,Neutral
80,0,259885260624,3546715242105729,我叫帅批,3,保密,麦小鼠红皮大招的视频呢[惊讶],2025-04-08 13:45:32,4,3,,未知,否,https://i0.hdslb.com/bfs/face/27ce10e3fa730d2184b57a8f3c37c07ca0e9eff4.jpg,Surprise
81,0,259018886321,349586058,秋殇别恋wl,6,保密,能不能别搁这造谣啊？失去联系现在根本没消息,2025-04-08 11:51:45,0,6,,未知,是,https://i0.hdslb.com/bfs/face/ed1d4d2f47d752ccd8f649da766ee6beb5b364b1.jpg,Anger
82,0,259008194193,401132476,朗姆酒厉害,4,保密,"打扰打个广告
80＝1000w纯币
绝航跑刀需要有通道卡，免费带锅油，4-6h结单
PC纯绿 大学生",2025-04-08 09:35:27,0,2,"接3*3，高效率，高质量，可直接+v，blcfjbgmhhh
steam端也可",未知,否,https://i1.hdslb.com/bfs/face/35cc130ad43f8310862f4e4012b551dd571d9388.jpg,Neutral
83,0,258996062561,275061293,薪火电竞,5,男,"部门任务   
战斗部门1-4=150元（1天左右完成，不包币，包币+60元）     
战术部门1-4=150元（1天左右完成，不包币，包币+60元）  
医疗部门1-4=120元（1天左右完成，不包币，包币+60元）  
后勤部门1-4=130元（1天左右完成，不包币，包币+60元）  
研发部门1-4=130元（1天左右完成，不包币，包币+60元）   
亿唐特价:五个部门任务全包1-4=900元（完成时间以打手反馈为准，包币）  
  
一个部门任务1-2=40元（1天左右完成，不包币，包币+50元）   
一个部门任务2-3=60元（1天左右完成，不包币，包币+50元）   
一个部门任务1-3=80元（1天左右完成，不包币，包币+50元）    
一个部门任务2-4=100元（1天左右完成，不包币，包币+50元）",2025-04-08 06:10:56,2,2,"三角洲行动3*3哈夫币部门任务
需要+V  faqng5131421
频繁加V  qazplm5131421
频繁加Q 2961553035",未知,是,https://i2.hdslb.com/bfs/face/21c25e46713b9057bc764dd35b00475e49ee3310.jpg,Neutral
84,0,258996171633,275061293,薪火电竞,5,男,下赛季3*3保险开放预约了，现在下单享受所有套餐降价100的优惠，优先下单下赛季优先排单，保证您更早的拿到3*3，提高您新赛季的游戏体验，需要的话欢迎私聊客服哦,2025-04-08 06:10:50,0,1,"三角洲行动3*3哈夫币部门任务
需要+V  faqng5131421
频繁加V  qazplm5131421
频繁加Q 2961553035",未知,是,https://i2.hdslb.com/bfs/face/21c25e46713b9057bc764dd35b00475e49ee3310.jpg,Neutral
85,0,258996057793,275061293,薪火电竞,5,男,来了，老板,2025-04-08 06:10:38,0,1,"三角洲行动3*3哈夫币部门任务
需要+V  faqng5131421
频繁加V  qazplm5131421
频繁加Q 2961553035",未知,是,https://i2.hdslb.com/bfs/face/21c25e46713b9057bc764dd35b00475e49ee3310.jpg,Neutral
86,259885260624,259058935857,20719150,迷途之家的幻想之狐,6,男,大招改了？,2025-04-09 02:41:44,0,2,平庸,未知,是,https://i1.hdslb.com/bfs/face/2e8166d16df38d31c49c410e4ce9fe63106930c3.jpg,Surprise
87,259058935857,259961400640,3546715242105729,我叫帅批,3,保密,回复 @迷途之家的幻想之狐 :没有只是多了一个大招检视[打call],2025-04-09 13:02:57,0,2,,未知,否,https://i0.hdslb.com/bfs/face/27ce10e3fa730d2184b57a8f3c37c07ca0e9eff4.jpg,Neutral
88,259961400640,259138221377,20719150,迷途之家的幻想之狐,6,男,回复 @我叫帅批 :哦哦，检视小电脑？,2025-04-10 02:53:48,0,2,平庸,未知,是,https://i1.hdslb.com/bfs/face/2e8166d16df38d31c49c410e4ce9fe63106930c3.jpg,Neutral
89,259138221377,260594930096,3546715242105729,我叫帅批,3,保密,回复 @迷途之家的幻想之狐 :对的[打call],2025-04-17 09:20:12,0,0,,未知,否,https://i0.hdslb.com/bfs/face/27ce10e3fa730d2184b57a8f3c37c07ca0e9eff4.jpg,Neutral
90,259991360320,260433206128,1987913702,全民小康的漏网之鱼,3,保密,单做一个任务怎么算,2025-04-15 08:07:56,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Regret
91,259991360320,260446626080,3546866012653944,薪火电竞-客服,2,男,15,2025-04-15 11:25:09,0,0,"三角洲行动承接3*3哈夫币部门任务
需要+V  faqng5131421
频繁加V  qazplm5131421
QQ 2961553035",未知,是,https://i0.hdslb.com/bfs/face/21c25e46713b9057bc764dd35b00475e49ee3310.jpg,Neutral
92,259201176049,260339974096,313775238,默咲,6,保密,700r1200w吗难很贵了[笑哭],2025-04-14 03:37:35,0,0,这个人一点也不懒，写下了这个签名,未知,否,https://i0.hdslb.com/bfs/face/d5ab6d21e7552a98cc34e2d4b67fb48ac4ec1bb4.jpg,Disgust
93,260339974096,259478206993,13811190,嘟嘟可妲魔王,6,男,回复 @默咲 :打错了忘改了[笑哭],2025-04-14 07:25:56,0,0,,未知,是,https://i0.hdslb.com/bfs/face/e9e61a95ec044711ff3f9e4bd102f6f57ab9816d.jpg,Neutral
94,258996062561,259855649232,698136213,Kanye侃爷啊,5,女,不包币是什么意思？ 做任务途中获得到哈弗币要付钱吗,2025-04-08 07:09:10,0,1,时间是个庸医 却自称包治百病,未知,否,https://i0.hdslb.com/bfs/face/92689648993691365385fbb403f69e076d3811a9.jpg,Expectation
95,259855649232,258999675761,275061293,薪火电竞,5,男,回复 @Kanye侃爷啊 :不是，包币是包任务过程中的哈夫币消耗,2025-04-08 07:16:48,0,1,"三角洲行动3*3哈夫币部门任务
需要+V  faqng5131421
频繁加V  qazplm5131421
频繁加Q 2961553035",未知,是,https://i2.hdslb.com/bfs/face/21c25e46713b9057bc764dd35b00475e49ee3310.jpg,Neutral
